offset	             id		                                      type	         key	        action	        val

9017	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	name           	+    	end to end test
9037	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6-chris.langager    	ballot         	votes          	+    	4dc00ab2-0e75-4e85-bcd8-7eed46403813
9038	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6-chris.langager    	ballot         	username       	+    	chris.langager
9039	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6                   	category       	ballots        	-    	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6-chris.langager
9040	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6                   	category       	ballots        	+    	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6-chris.langager
9041	25fe21f5-6804-4dc8-8edb-3910e6e75c68-chris.langager    	ballot         	votes          	clear	undefined
9042	25fe21f5-6804-4dc8-8edb-3910e6e75c68-chris.langager    	ballot         	username       	+    	chris.langager
9043	25fe21f5-6804-4dc8-8edb-3910e6e75c68                   	category       	ballots        	-    	25fe21f5-6804-4dc8-8edb-3910e6e75c68-chris.langager
9044	25fe21f5-6804-4dc8-8edb-3910e6e75c68                   	category       	ballots        	+    	25fe21f5-6804-4dc8-8edb-3910e6e75c68-chris.langager
9045	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	name           	+    	end to end test
9046	36363016-7e59-45e5-b9a2-59f1bd0c5e31                   	candidate      	name           	+    	A
9047	36363016-7e59-45e5-b9a2-59f1bd0c5e31                   	candidate      	description    	+    	Test candidate.
9048	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	candidates     	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9049	b16a0673-39a6-4c80-83e5-8f003330c5f3                   	candidate      	name           	+    	B
9050	b16a0673-39a6-4c80-83e5-8f003330c5f3                   	candidate      	description    	+    	Test candidate.
9051	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	candidates     	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9052	7b4c8649-accb-4eeb-8c85-e83367c21076                   	candidate      	name           	+    	C
9053	7b4c8649-accb-4eeb-8c85-e83367c21076                   	candidate      	description    	+    	Test candidate.
9054	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	candidates     	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9055	aab5cbe8-6be8-43d1-9a5e-1f0b659f2359                   	candidate      	name           	+    	D
9056	aab5cbe8-6be8-43d1-9a5e-1f0b659f2359                   	candidate      	description    	+    	Test candidate.
9057	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	candidates     	+    	aab5cbe8-6be8-43d1-9a5e-1f0b659f2359
9058	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	name           	+    	Best Hair
9059	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	categories     	+    	4be8d767-3f70-4128-8777-a1753a5fa504
9060	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	name           	+    	Most Likely to have Peaked in High School
9061	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	categories     	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153
9062	9375be53-d869-445d-a6d2-073021919ab7                   	category       	name           	+    	Most Ox-Like
9063	81dfebbb-f022-4f72-a231-5ea5c2d0f463                   	election       	categories     	+    	9375be53-d869-445d-a6d2-073021919ab7
9064	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	clear	undefined
9065	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9066	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	username       	+    	chris.langager
9067	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9068	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9069	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	clear	undefined
9070	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	username       	+    	chris.langager
9071	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9072	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9073	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	clear	undefined
9074	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	username       	+    	chris.langager
9075	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9076	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9077	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	clear	undefined
9078	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9079	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9080	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	username       	+    	chris.langager
9081	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9082	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9083	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	clear	undefined
9084	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9085	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9086	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	username       	+    	chris.langager
9087	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9088	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9089	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	clear	undefined
9090	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9091	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	username       	+    	chris.langager
9092	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9093	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9094	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	clear	undefined
9095	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9096	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9097	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	username       	+    	chris.langager
9098	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9099	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9100	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	clear	undefined
9101	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9102	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9103	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9104	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	username       	+    	chris.langager
9105	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9106	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9107	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	clear	undefined
9108	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9109	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9110	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9111	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	username       	+    	chris.langager
9112	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9113	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9114	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	clear	undefined
9115	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9116	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9117	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9118	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager    	ballot         	username       	+    	chris.langager
9119	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9120	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-chris.langager
9121	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	clear	undefined
9122	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9123	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9124	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9125	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager    	ballot         	username       	+    	chris.langager
9126	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9127	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-chris.langager
9128	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	clear	undefined
9129	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9130	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9131	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9132	9375be53-d869-445d-a6d2-073021919ab7-chris.langager    	ballot         	username       	+    	chris.langager
9133	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9134	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-chris.langager
9135	4be8d767-3f70-4128-8777-a1753a5fa504-test2             	ballot         	votes          	clear	undefined
9136	4be8d767-3f70-4128-8777-a1753a5fa504-test2             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9137	4be8d767-3f70-4128-8777-a1753a5fa504-test2             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9138	4be8d767-3f70-4128-8777-a1753a5fa504-test2             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9139	4be8d767-3f70-4128-8777-a1753a5fa504-test2             	ballot         	username       	+    	test2
9140	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-test2
9141	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-test2
9142	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2             	ballot         	votes          	clear	undefined
9143	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9144	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9145	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9146	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2             	ballot         	username       	+    	test2
9147	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2
9148	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test2
9149	9375be53-d869-445d-a6d2-073021919ab7-test2             	ballot         	votes          	clear	undefined
9150	9375be53-d869-445d-a6d2-073021919ab7-test2             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9151	9375be53-d869-445d-a6d2-073021919ab7-test2             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9152	9375be53-d869-445d-a6d2-073021919ab7-test2             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9153	9375be53-d869-445d-a6d2-073021919ab7-test2             	ballot         	username       	+    	test2
9154	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-test2
9155	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-test2
9156	4be8d767-3f70-4128-8777-a1753a5fa504-test3             	ballot         	votes          	clear	undefined
9157	4be8d767-3f70-4128-8777-a1753a5fa504-test3             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9158	4be8d767-3f70-4128-8777-a1753a5fa504-test3             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9159	4be8d767-3f70-4128-8777-a1753a5fa504-test3             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9160	4be8d767-3f70-4128-8777-a1753a5fa504-test3             	ballot         	username       	+    	test3
9161	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-test3
9162	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-test3
9163	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3             	ballot         	votes          	clear	undefined
9164	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9165	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9166	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9167	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3             	ballot         	username       	+    	test3
9168	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3
9169	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test3
9170	9375be53-d869-445d-a6d2-073021919ab7-test3             	ballot         	votes          	clear	undefined
9171	9375be53-d869-445d-a6d2-073021919ab7-test3             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9172	9375be53-d869-445d-a6d2-073021919ab7-test3             	ballot         	username       	+    	test3
9173	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-test3
9174	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-test3
9175	4be8d767-3f70-4128-8777-a1753a5fa504-test4             	ballot         	votes          	clear	undefined
9176	4be8d767-3f70-4128-8777-a1753a5fa504-test4             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9177	4be8d767-3f70-4128-8777-a1753a5fa504-test4             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9178	4be8d767-3f70-4128-8777-a1753a5fa504-test4             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9179	4be8d767-3f70-4128-8777-a1753a5fa504-test4             	ballot         	username       	+    	test4
9180	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-test4
9181	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-test4
9182	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4             	ballot         	votes          	clear	undefined
9183	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9184	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9185	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9186	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4             	ballot         	username       	+    	test4
9187	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4
9188	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test4
9189	9375be53-d869-445d-a6d2-073021919ab7-test4             	ballot         	votes          	clear	undefined
9190	9375be53-d869-445d-a6d2-073021919ab7-test4             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9191	9375be53-d869-445d-a6d2-073021919ab7-test4             	ballot         	username       	+    	test4
9192	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-test4
9193	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-test4
9194	4be8d767-3f70-4128-8777-a1753a5fa504-test5             	ballot         	votes          	clear	undefined
9195	4be8d767-3f70-4128-8777-a1753a5fa504-test5             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9196	4be8d767-3f70-4128-8777-a1753a5fa504-test5             	ballot         	votes          	+    	36363016-7e59-45e5-b9a2-59f1bd0c5e31
9197	4be8d767-3f70-4128-8777-a1753a5fa504-test5             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9198	4be8d767-3f70-4128-8777-a1753a5fa504-test5             	ballot         	username       	+    	test5
9199	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	-    	4be8d767-3f70-4128-8777-a1753a5fa504-test5
9200	4be8d767-3f70-4128-8777-a1753a5fa504                   	category       	ballots        	+    	4be8d767-3f70-4128-8777-a1753a5fa504-test5
9201	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5             	ballot         	votes          	clear	undefined
9202	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9203	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9204	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5             	ballot         	votes          	+    	b16a0673-39a6-4c80-83e5-8f003330c5f3
9205	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5             	ballot         	username       	+    	test5
9206	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	-    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5
9207	692b7b8f-e23e-4533-a0c3-0f85c548a153                   	category       	ballots        	+    	692b7b8f-e23e-4533-a0c3-0f85c548a153-test5
9208	9375be53-d869-445d-a6d2-073021919ab7-test5             	ballot         	votes          	clear	undefined
9209	9375be53-d869-445d-a6d2-073021919ab7-test5             	ballot         	votes          	+    	7b4c8649-accb-4eeb-8c85-e83367c21076
9210	9375be53-d869-445d-a6d2-073021919ab7-test5             	ballot         	username       	+    	test5
9211	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	-    	9375be53-d869-445d-a6d2-073021919ab7-test5
9212	9375be53-d869-445d-a6d2-073021919ab7                   	category       	ballots        	+    	9375be53-d869-445d-a6d2-073021919ab7-test5
